date,open,high,low,close,volume
2020/10/19,3351.1,3371.09,3307.84,3312.67,21230354000
2020/10/20,3307.15,3328.1,3293.77,3328.1,16508476200
2020/10/21,3332.15,3332.15,3304.17,3325.02,17763211500
2020/10/22,3315.82,3320.88,3281.37,3312.5,16594998700
2020/10/23,3308.16,3326.05,3276.62,3278,17420898200
2020/10/26,3258.7,3264.45,3226.6,3251.12,16773179500
2020/10/27,3240.74,3258.34,3235.54,3254.32,14911556600
2020/10/28,3256.22,3275.87,3238.38,3269.24,17318196500
2020/10/29,3235.76,3289.77,3231.12,3272.73,18470358900
2020/10/30,3278.63,3279.86,3219.42,3224.53,23018880300
2020/11/2,3228.72,3242.8,3209.91,3225.12,22677913700
2020/11/3,3239.81,3278.38,3237.85,3271.07,21529786400
2020/11/4,3273.43,3286.62,3254.11,3277.44,18851412800
2020/11/5,3305.58,3320.41,3291.6,3320.13,22680146200
2020/11/6,3326.46,3326.46,3292.15,3312.16,23486413200
2020/11/9,3329.43,3380.82,3329.43,3373.73,31021977100
2020/11/10,3387.62,3387.62,3346.17,3360.15,27870111300
2020/11/11,3354.02,3365.84,3339.04,3342.2,27120465300
2020/11/12,3344.46,3350.28,3329.49,3338.68,21650130900
2020/11/13,3327.23,3327.23,3291.64,3310.1,22789836400
2020/11/16,3325.62,3346.97,3313.65,3346.97,27959376100
2020/11/17,3347.15,3347.7,3323.95,3339.9,28363247900
2020/11/18,3337.33,3358.89,3333.99,3347.3,28753125900
2020/11/19,3339.09,3367.33,3330.45,3363.09,25326299200
2020/11/20,3359.6,3380.15,3356.31,3377.73,26127121900
2020/11/23,3384.1,3431.65,3377.99,3414.49,37387204700
2020/11/24,3407.41,3413.93,3396.24,3402.82,30099414400
2020/11/25,3417.52,3423.49,3362.33,3362.33,32211020700
2020/11/26,3360.06,3371.45,3344.28,3369.73,25588682200
2020/11/27,3373.84,3408.31,3364.49,3408.31,28064989400
2020/11/30,3418.16,3456.74,3391.76,3391.76,38498996800
2020/12/1,3388.99,3457.64,3386.91,3451.94,31618898000
2020/12/2,3453.52,3465.73,3435.87,3449.38,31281111400
2020/12/3,3448.54,3452.16,3428.8,3442.14,29845993000
2020/12/4,3436.73,3448.4,3417.05,3444.58,25627670500
