date,open,high,low,close,volume
20170714,456.25,458.76,453.05,456.41,1772657
20170717,457.04,458.04,446.28,450.07,3526368
20170718,451.99,453.99,448,452.55,3068449
20170719,454,463.62,452.8,456.86,5625994
20170720,455.86,466.89,455.86,466.47,4663487
20170721,466.96,475.01,463.66,473.2,4679241
20170724,474.88,485.35,474.88,477.8,4271643
20170725,482.2,482.8,476.1,477.96,2192999
20170726,478.05,481.63,466.56,471.63,3147018
20170727,471.63,475.85,471.1,473.87,1959503
20170728,471,484.07,467.71,483.92,4661877
20170731,484,487.96,481,481.22,3841218
20170801,481,483,477.4,480.24,2750154
20170802,480.04,484.88,478.51,482.84,2677422
20170803,483.68,486.85,475.63,477.22,3176839
20170804,477,478.98,472.6,473.64,1868114
20170807,472.5,482.4,471.13,481.56,2309937
20170808,482,484.22,479.5,482.58,1605158
20170809,484.84,492.98,482.03,490.85,4179447
20170810,491.09,499.6,489,491.63,3536438
20170811,489,496.55,483.48,484.06,3657257
20170814,485.21,500.1,485.21,499.83,3933147
20170815,500.11,501.1,495.01,495.97,2716322
20170816,498,498.8,493,496.49,1858722
20170817,497.6,497.6,489.8,492.69,2584673
20170818,492.8,494.44,488,489.65,2385775
20170821,488,494.4,486.94,489.73,2354662
20170822,487.4,489.48,476,487.22,4245703
20170823,485.45,494.63,484.32,494.01,2721499
20170824,493.99,496.4,492.02,492.81,1815678
20170825,493.45,494.25,489.32,492.99,1729788
20170828,493,497.29,491.03,492.04,2902107
20170829,493.02,494.88,488.01,489.44,2517662
20170830,489.7,493.75,489.16,492.97,1850364
20170831,494.04,494.88,489.8,491.15,1873686
20170901,490.2,496.28,490.03,495.18,3145100
20170904,495.18,496.66,491.27,492.42,1893162
20170905,492.88,493.99,489.5,489.99,2262215
20170906,490,492.77,484.84,484.98,3300650
20170907,485.31,486.9,480.06,481.27,3332016
20170908,478.25,480.5,474,474.37,4117327
20170911,471.09,482.22,469.98,478.32,4537440
20170912,479.5,486,478.4,484.91,3434163
20170913,485,492.2,481.38,491.63,3307570
20170914,492.99,494.03,488.99,490.71,1939949
20170915,492.5,492.5,488,489.84,1603946
20170918,490.14,500.5,490.14,498.97,4220681
20170919,500.3,502.5,496.01,496.95,2305481
20170920,496.9,500.02,496,496.2,1731816
20170921,495.94,500.58,492.88,498.77,1940268
20170922,496.9,500.18,495.8,499.93,1634353
20170925,500.31,508.2,500.3,507.24,3269756
20170926,506.69,510,503.6,509.29,2547049
20170927,508.92,511.03,506.07,508.21,1667111
20170928,507.2,520.2,507.15,518.46,2596985
20170929,516,525.88,515.5,517.64,2243622
20171009,524.54,535.55,520.1,527.77,3489129
20171010,527.05,540.49,527.01,540.06,3100644
20171011,538.1,551.25,538.1,545.54,3340643
20171012,545,547.5,540.18,544.09,1964622
20171013,545,556.6,542.01,556.15,2785842
20171016,559.99,566.66,555.87,560.69,2990901
20171017,560.97,560.97,554,556.73,2097712
20171018,554.2,562.59,554.2,560.72,1917865
20171019,561,585.15,560.72,582.6,4065882
20171020,581,581,571.76,574.33,3153433
20171023,574.92,580.5,568,573.41,2377182
20171024,572,573.8,563.61,567.33,3127428
20171025,569.75,571.68,562.06,565.67,2507600
20171026,605,613,591.91,605.09,11543497
20171027,602.11,655,600.03,649.63,8438379
20171030,643.05,644,621,622.08,8100786
20171031,622.01,627.6,611.88,618.03,5187568
20171101,620.88,631.54,619.22,623.01,4343525
20171102,626.95,629.78,621,626.92,3424973
20171103,628.65,643.44,628.65,639.17,4818897
20171106,641.5,657.62,640.2,653.06,4851398
20171107,650.58,657.15,638.18,642.07,5556485
20171108,642.33,654.5,642.33,650.38,4395194
20171109,648,654.15,644.61,650.07,3364113
20171110,650.43,683.4,650.43,677.95,7407860
20171113,680,692.78,675.8,687.88,4986984
20171114,687.14,687.22,677.35,678.75,4636671
20171115,678.75,689.99,674,688.08,4503633
20171116,686.01,719.96,686.01,719.11,6071632
20171117,696,709,677.77,690.25,12386124
20171120,676.8,685.6,660,679.15,8830582
20171121,669,688.8,662.02,677.25,9601651
20171122,677,688,650,650.52,12849826
20171123,642,646,630.22,633.73,10959913
20171124,635.9,642.5,622.23,630.04,7654194
20171127,634,636.33,613.01,621.29,6354846
20171128,625.06,648.88,624,648.23,7029183
20171129,649.94,651.97,634.01,638.12,4676372
20171130,635.51,648.48,626,631,3801962
20171201,638.01,638.99,620.13,622.35,4719274
20171204,623.95,644.1,616.72,637.79,5426771
20171205,634,647.4,630.13,632.96,4746576
20171206,631.5,644.1,620,625.01,5817409
20171207,624.95,624.99,615.26,616.69,5103262
20171208,615.42,628.85,615.42,627.28,4550339
20171211,631,651.95,631,650.99,7284917
20171212,658.7,658.77,651.02,651.32,4788931
20171213,654.99,670,650.72,668.21,4850248
20171214,669.98,671.3,660.5,664.55,3196794
20171215,664,667.95,650.78,653.79,3225595
20171218,660,669.8,658.58,665.77,3916228
20171219,663,672.44,661,667.09,4407221
20171220,669.9,686.86,664.03,684.91,6360131
20171221,683,687.42,675.5,681.74,4668038
20171222,680,685.9,677.01,682.92,2831701
20171225,686,696.3,683.72,688.12,3621428
20171226,688.18,692.99,676.5,680.81,3186766
20171227,684.86,684.86,662.5,664.18,3772205
20171228,687,719.9,671.32,718.69,12414107
20171229,718,726.5,691.6,697.49,7603887
20180102,700,710.16,689.89,703.85,4961248
20180103,701.5,721.4,699.74,715.86,5201941
20180104,721.4,743.5,719.33,737.07,7220508
20180105,741,746.03,728.22,738.36,3998907
20180108,735.02,756.5,735.02,752.13,5220456
20180109,752.21,783,752.21,782.52,6459195
20180110,785,788.88,773.48,785.71,4771424
20180111,787,788,772,774.81,5065607
20180112,773.77,788.8,767.02,788.42,4598824
20180115,793.46,799.06,779.02,785.37,5247313
20180116,780.48,788.61,768,772.94,6542833
20180117,770,774,738.51,747.93,9070954
20180118,747.93,765,744.09,750.74,5897851
20180119,752.9,758.9,739.02,750.18,5092556
20180122,751.81,774,751.81,773.64,6712675
20180123,777.81,780,768.6,773.78,4954918
20180124,776.44,776.46,758.6,764.46,4329881
20180125,761,776,751,769.16,5004072
20180126,767.24,777.4,764,777.22,4397833
20180129,778.76,779.67,735,736.32,7453551
20180130,736,748.77,730.02,742.08,5191103
20180131,739,771.71,739,764.54,6040241
20180201,767,767.3,752.92,757.73,5058261
20180202,752.22,753.23,725,740.4,7542082
20180205,727.22,729.96,705.6,718.23,9899585
20180206,703,722.6,703,708.86,8816871
20180207,720,723.88,682.01,683.43,8828998
20180208,682.2,718,682.2,700.99,8340943
20180209,680,689.89,658,683.43,10557826
20180212,691,705.5,685.2,697.48,6417955
20180213,705.02,714.82,704.5,711.98,5338918
20180214,720,720,712.22,718.45,3065260
20180222,727.3,744,723.24,742.45,5076469
20180223,747,756.56,737,742.48,3815877
20180226,746.88,752.05,733.02,743.51,4365824
20180227,749,756,737.22,737.98,4260154
20180228,732,742.3,719,725.62,4833067
20180301,728,746.85,723.77,741.97,4479465
20180302,738,743.56,730,736.41,2599190
20180305,738.18,742,717.03,720.11,3723470
20180306,725,727.6,697.13,718.26,6457036
20180307,715,724,708.99,710.04,3459594
20180308,714,724,708,722.76,3534930
20180309,727.55,732.57,723.5,728.2,3017100
20180312,729.55,733.92,722.77,723.95,3988841
20180313,723,726.6,710,710.35,3857709
20180314,709.67,728.08,707.22,726.88,3735576
20180315,728.02,747,728.02,746.47,5614879
20180316,747.6,753.98,738.88,739.85,3585552
20180319,743.97,753.99,739,753.48,3866658
20180320,750,752,740,747.73,2887720
20180321,750.11,753.11,740,742,2674271
20180322,744,748,724.01,726.08,3748697
20180323,701,723.49,700.08,711.06,5254677
20180326,708,715.06,701.88,713.49,4625611
20180327,723,725.88,704,714.74,4754844
20180328,699.97,703,669,682.05,11353972
20180329,682.2,697.85,658.41,689.1,7908196
20180330,686,693.5,679.88,683.62,3654028
20180402,680,691,674.11,680.06,3203908
20180403,678,687,675.39,677.91,4023558
20180404,682,700.43,680.38,694.01,5689131
20180409,697.1,705.43,690.15,698.3,3083305
20180410,704.8,708.5,698.46,708.02,3204325
20180411,710,714.78,703.02,705.36,2572318
20180412,704,706.88,692.22,694.2,3071361
20180413,698.5,701,685.08,686.86,2754952
20180416,680.58,686.85,677,681.38,3293967
20180417,685,685.38,665.6,666.2,3517276
20180418,671,671,645,655.64,6261660
20180419,659.85,680,656.66,679.96,4420757
20180420,681,694,668.23,670.26,4151168
20180423,666.01,680.33,666.01,674.01,3265920
20180424,676,693.5,675,689.88,4728256
20180425,689,692,683.02,690.97,2525222
20180426,692,692.28,673,678.23,3504790
20180427,685.25,688.36,655,662.53,5791521
20180502,660,668.99,645.06,667.83,7025911
20180503,666,673.68,658,670.88,3632653
20180504,670.98,674.83,660.57,662.87,3737584
